Metric,Value
Mean,1121.050773947685
Median,939.1340446124068
Std Dev,504.6068208051177
Min,564.8823529411765
Max,2636.5172413793102
Recent 5Y Avg,902.3267292118289
Previous 5Y Avg,1433.4212111275792
